specialisation,subspecialisation,name,lga,workspaceName,lat5,lon5,latitude,longitude
Asset,Substation,Karabar,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.36913,149.22754,-35.36912794,149.2275368
Asset,Substation,Googong Town,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.43302,149.2183,-35.4330218,149.2182987
Asset,Substation,Bungendore,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.25366,149.43628,-35.25365582,149.4362758
Asset,Substation,Capital Hill Wind Farm,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.1874,149.52301,-35.18739877,149.5230093
Asset,Wind Farm,Capital Hill Wind Farm,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.16603,149.51857,-35.16603062,149.5185686
Asset,Wind Farm,Woodlawn Wind Farm,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-35.08606,149.57161,-35.0860597,149.5716058
Asset,Biogas Plant,Woodlawn Bioreactor,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-35.059,149.57691,-35.05900246,149.576905
Asset,Substation,Captains Flat,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.5917,149.44026,-35.59169858,149.4402618
Asset,Fuel Depot,Bombala,Snowy Monaro,Snowy Monaro Asset Model,-36.90448,149.24134,-36.9044838,149.2413406
Asset,Substation,Bombala,Snowy Monaro,Snowy Monaro Asset Model,-36.89124,149.24334,-36.89124071,149.2433445
